dust,NO2,CO2,SO2,AQI
10.11,14.19,0.45,16.84,37
23.31,12.18,0.55,18.77,50
27.63,11.48,0.89,18.89,78
21.05,14.29,0.7,12.85,45
18.12,11.78,0.46,14.24,43
7.09,7.41,0.65,13.87,72
7.08,7.96,0.45,13.99,46
9.79,11.9,0.65,14.02,74
32.29,12.02,0.72,15.53,55
40,13.18,0.64,15.3,72
19.31,13.02,0.52,11.22,51
9.48,11.3,0.58,12.14,43
13.78,10.61,0.47,11.83,41
8.12,7.85,0.53,11.39,52
9.99,12.56,0.72,8.72,72
9.29,16.43,0.59,11.26,44
11.75,13.51,0.72,10.68,71
7.14,11.84,0.5,8.21,40
7.53,10.7,0.46,5.29,39
11.82,11.1,0.72,9.54,69
18.57,9.97,0.76,14.66,49
38.32,9.76,0.55,18.55,67
19.51,13.01,0.65,15.46,48
18.54,13.63,0.62,12.08,48
12.01,13.82,0.64,11.34,45
12.95,13.44,0.58,12.65,64
18.41,11.45,0.6,11.51,49
42.98,15.53,0.67,12.3,74
56.76,20.7,0.68,17.89,94
78.45,26,0.82,29.06,122
89.53,22.79,0.89,20.75,190
85.95,24.78,1.04,15.74,198
81.5,20.13,0.93,21.32,174
77.93,14.09,0.75,20.18,168
51.46,12.24,0.64,11.75,126
39.26,16.23,0.67,10.97,77
37.5,20.42,0.91,11.84,94
45.41,14.75,0.64,13.6,73
50.33,16.68,0.93,10.82,101
60.86,13.27,0.8,15.36,100
64.88,15.42,1.04,15.4,115
63.97,18.14,0.83,22.37,127
42.45,14.32,0.81,15.71,90
62.31,14.9,1,16.91,98
80.27,12.84,0.79,14.86,162
63.19,13.46,0.98,12.61,141
53.15,15.54,0.65,7.74,94
63.39,15.36,0.71,12.64,97
76.12,16.19,0.83,13.3,136
83.5,15.78,0.81,14.34,167
79.85,16.51,1.15,17.76,174
68.76,21.1,0.92,19.3,151
57.83,14.13,0.78,15.1,121
35.69,14.42,0.67,14.59,78
55.2,12.3,0.81,18.46,79
55.72,13.9,0.7,10.3,98
63.99,14.49,0.72,14.19,100
77.57,14.81,0.83,14.99,156
82.76,22.64,0.78,29.74,160
90.54,23.89,1,19.16,185
39.12,24.73,0.77,10.8,83
51.44,22.53,0.68,12.58,86
38.89,18.7,0.62,10.22,72
35.8,16.11,0.62,12.83,66
39.06,13.1,0.55,13.87,64
47.53,17.58,0.65,17.05,73
46.6,17.93,0.62,18.96,76
67.15,25.62,0.84,12.22,96
66.82,17.15,0.75,12.67,137
83.16,17.41,0.76,17.03,138
79.92,19.92,0.9,23.63,188
83.64,15.67,0.84,16.5,166
72.34,13.46,0.71,17.81,162
72.99,13.46,0.69,11.56,147
76.56,14.77,0.82,14.21,138
84.51,13.16,0.95,17.69,194
50.52,14.79,0.59,13.86,114
41.79,17.65,0.63,14.1,77
57.09,15.8,0.78,9.56,79
74.45,12.5,0.75,19.09,133
59.42,12.73,0.92,20.55,131
49.5,12.64,0.64,17.14,87
59.64,12.12,0.77,17.53,96
42.46,12.17,0.73,17.09,82
39.07,13.53,0.69,22.14,76
22.79,18.79,0.64,19.87,47
37.81,12.98,0.63,14.68,55
38.82,11.64,0.65,18.74,66
69.49,12.04,0.68,17.89,109
53.32,11.47,0.64,15.37,103
37.23,13.23,0.53,13.54,78
51.22,21.49,0.67,20.19,70
66.57,16.47,0.76,18.45,110
78.28,16.82,0.8,24.75,147
85.67,20.64,0.95,32.97,177
82.66,14,0.85,17.11,168
68.4,11.06,0.76,18.33,163
56.44,10.33,0.64,9.86,108
45.81,11.52,0.66,15.86,82
31.59,8.68,0.6,12.33,60
36.62,10.43,0.69,16.57,58
31.22,16.9,0.63,14.64,62
29.88,15.62,0.63,14.09,63
37.56,14.76,0.65,14.71,63
59.33,17.94,0.75,18.29,87
61.4,15.34,0.73,23.54,101
51.18,11.66,0.64,18.69,98
38.39,15.39,0.61,20,77
34.56,16.51,0.57,19.73,74
33.62,14.78,0.52,20.29,65
29.98,9.21,0.52,12.76,59
32.18,13.11,0.55,15.43,59
26.72,15.53,0.49,19.06,66
21.22,12.12,0.45,18.25,52
19.94,10.35,0.47,13.38,47
24.44,12.27,0.54,15.16,48
27.24,14.18,0.52,16.38,54
25.74,11.44,0.52,19.32,54
20.12,14.78,0.52,15.01,47
16.85,9.88,0.44,18.3,44
22.46,10.81,0.38,20.25,45
38.73,16.17,0.62,17.41,51
36.26,14.25,0.53,17.68,65
45.14,13.84,0.6,18.99,70
59.61,17.03,0.67,21.32,86
61.24,25.9,0.64,34.59,110
43.11,16.21,0.52,23.05,87
64.53,23.25,0.78,27.95,103
37.53,14.1,0.44,15.75,88
29.12,14.06,0.44,19.12,66
31.68,14.53,0.48,20.98,66
40.98,14.6,0.46,18.62,65
49.1,12.98,0.44,17.74,77
35.92,11.83,0.47,16.2,74
27.13,12.98,0.48,20.2,60
34.81,14.44,0.77,13,82
31.66,9.29,0.62,15.94,68
24.86,10.73,0.61,16.73,53
31.28,13.15,0.81,19.56,78
38.85,13.49,0.86,22.27,73
31.99,10.99,0.66,23.6,68
35.99,10.24,0.52,18.21,65
32.99,8.29,0.48,19.32,67
39.84,11.69,0.56,24.7,67
40.19,10.71,0.58,22.82,70
35.95,12.61,0.55,17.88,66
20.14,7.85,0.49,18.35,47
14.26,6.19,0.52,12.13,35
10.28,8.15,0.49,29.5,35
12.37,9.77,0.54,18.18,42
10.63,7.78,0.46,25.19,35
23.78,8.07,0.49,21.65,48
25.83,7.94,0.47,22.1,48
27.28,9.42,0.57,19.49,48
31.49,8.93,0.64,19.67,54
19.45,9.54,0.58,16.2,48
18.86,8.13,0.55,19.8,51
15.23,7.4,0.49,25.54,43
13.9,5.15,0.49,23.29,37
26.01,4.65,0.45,24.44,51
17.19,4.81,0.46,20.71,47
16.77,4.29,1.47,18.95,101
23.67,4.99,0.66,18.8,108
25.36,4.69,0.23,21.49,52
25.12,4.71,0.25,22.1,61
26.96,5.11,0.37,19.29,58
29.86,4.52,0.28,23.12,69
34.77,5.03,0.25,25.11,69
21.17,6.54,0,13.94,53
13.72,4.58,0,15.56,42
18.38,4.91,0,14.3,47
18.62,4.5,0,14.12,51
13.28,4.83,0,12.24,40
29.9,10.11,0.38,12.04,103
18.09,4.2,0.45,8.1,66
24.22,4.33,0.5,7.19,69
25.16,5.41,0.6,7.99,64
